entity_head	relation	entity_tail
m.01088l8w	0	m.0kpv11
m.01088l8w	4	m.0g546s5
m.01088l8w	4	m.0n596bw
m.01088l8w	2	m.0840vq
m.01088l8w	5	m.03ks26
m.01088l8w	4	m.0840vq
m.010d2vpl	2	m.0416b7f
m.010d2vpl	0	m.0kpv11
m.010t5vqp	0	m.0kpv11
m.010t5vqp	2	m.011_vg
m.011qkc7	1	m.033sf9f
m.011qkc7	2	m.0120rz
m.014jw88	1	m.01pmn_x
m.014jw88	1	m.01pmny2
m.014jw88	2	m.032w2k
m.014jw88	1	m.036m2gx
m.014jw88	0	m.0kpv11
m.014jw88	1	m.01pmnwz
m.014jw88	1	m.032w31
m.014jw88	1	m.033rh6l
m.014jw88	1	m.030mv_l
m.014jw88	1	m.0394k5n
m.014l3_y	1	m.039kgr0
m.014l3_y	1	m.0fghnz4
m.014l3_y	2	m.07nn02
m.014l3_y	0	m.0kpv11
m.014p5r0	2	m.01wm8wj
m.014p5r0	1	m.03_k15b
m.014p5r0	0	m.09jd9nh
m.014p5r0	1	m.03b63h2
m.014p5r0	1	m.031q8ps
m.015hj2g	1	m.0fcl6pf
m.015hj2g	2	m.0dtn7
m.015hj2g	1	m.0fc6w24
m.015hj2g	1	m.0fyd975
m.015hj2g	1	m.01hv1s2
m.015hj2g	1	m.0f4zgtj
m.015hj2g	0	m.0kpv11
m.015hj2g	1	m.01hv1t1
m.015hj2g	1	m.0f95dj0
m.015hj2g	1	m.0306w9f
m.01b070b	0	m.0kpv11
m.01b070b	2	m.07n8pl
m.01b070b	1	m.01pmngb
m.01b070b	1	m.031ff6f
m.01b070b	1	m.0fgw0jp
m.01b070b	1	m.0fg6lyg
m.01d7kmx	4	m.01vs73g
m.01d7kmx	1	m.0gf0ww1
m.01d7kmx	5	m.01vw20h
m.01d7kmx	1	m.01mpq6c
m.01d7kmx	0	m.0kpv11
m.01d7kmx	1	m.031zbvf
m.01d7kmx	1	m.03fkvk7
m.01d7kmx	2	m.01mpq7s
m.01d7kmx	1	m.03fg8np
m.01d7kmx	2	m.01vw20h
m.01d7kmx	1	m.03fkvk2
m.01d7kmx	1	m.0fjs0hw
m.01d7kmx	1	m.038_p3h
m.01d7kmx	1	m.0dzlvlb
m.01d7kmx	1	m.0fcklf6
m.01d7kmx	1	m.01mpppy
m.01d7kmx	1	m.03j832_
m.01d7kmx	1	m.03j832t
m.01d7kmx	1	m.0fy2410
m.01d7kmx	1	m.0fyvml2
m.01d7kmx	1	m.0fdkbfr
m.01d7kmx	1	m.0flmcx0
m.01dq2dx	1	m.03j832_
m.01dq2dx	1	m.0fcklf6
m.01dq2dx	1	m.0fyvml2
m.01dq2dx	1	m.03j6lqm
m.01dq2dx	1	m.03j832t
m.01dq2dx	1	m.038_p3h
m.01dq2dx	1	m.0flmcx0
m.01dq2dx	1	m.0fdkbfr
m.01dq2dx	1	m.0fjs0hw
m.01dq2dx	1	m.01mpppy
m.01dq2dx	1	m.03xqz44
m.01dq2dx	1	m.0dzlvlb
m.01dq2dx	2	m.01mpq7s
m.01dq2dx	1	m.03fkvk2
m.01dq2dx	0	m.0kpv11
m.01dq2dx	1	m.03fkvk7
m.023pz7k	1	m.033vly_
m.023pz7k	1	m.0dq1d6m
m.023pz7k	2	m.01pcj9x
m.023pz7k	0	m.0kpv11
m.023pz7k	1	m.035gv_w
m.023pz7k	1	m.03j74lv
m.023pz7k	1	m.0gb8rfg
m.023pz7k	1	m.037pp_8
m.023pz7k	4	g.121g6hrs
m.023pz7k	1	m.0fr8jgb
m.023pz7k	2	m.01sv2y
m.023pz7k	1	m.0g31dtv
m.023pz7k	1	m.0g1vptq
m.023pz7k	1	m.0324k_n
m.023pz7k	1	m.0dwdfhr
m.023pz7k	1	m.036xd1b
m.0d__r4w	1	m.0f60tl2
m.0d__r4w	1	m.0f46gsd
m.0d__r4w	1	m.03fk6d8
m.0d__r4w	0	m.0kpv11
m.0d__r4w	1	m.03fk6d3
m.0d__r4w	2	m.01wsfk
m.0dp5xsp	1	m.0dp5xqd
m.0dp5xsp	2	m.03j3m4_
m.0dp5xsp	1	m.0dyvk4g
m.0dp5xsp	0	m.0kpv11
m.0dpnhnq	1	m.0f7sn40
m.0dpnhnq	1	m.03fpl7r
m.0dpnhnq	1	m.0fk1vlw
m.0dpnhnq	0	m.0kpv11
m.0dpnhnq	1	m.0flml3v
m.0dpnhnq	2	m.09lwrt
m.0dpnhnq	1	m.0fjdt5w
m.0dpnhnq	1	m.0dpnhf2
m.0dpnhnq	1	m.0fn491z
m.0dr93d2	1	m.03fgs5y
m.0dr93d2	1	m.0ft45x7
m.0dr93d2	1	m.0fj37hv
m.0dr93d2	1	m.0301_l1
m.0dr93d2	1	m.0g90x7t
m.0dr93d2	1	m.0g16xyv
m.0dr93d2	1	m.031q2ny
m.0dr93d2	1	m.0g7gv7s
m.0dr93d2	2	m.012cnn
m.0dr93d2	1	m.03fg6fb
m.0dr93d2	3	m.0nhdqhv
m.0dr93d2	1	m.049kkp2
m.0dr93d2	1	m.0fd7gry
m.0dr93d2	1	m.030znbl
m.0dr93d2	1	m.03fg673
m.0dr93d2	1	m.034bpjq
m.0dr93d2	1	m.033pc31
m.0dr93d2	1	m.0g89h5z
m.0dr93d2	1	m.035gr56
m.0dr93d2	1	m.0dqx4ck
m.0dr93d2	1	m.01hdvr5
m.0dr93d2	1	m.0g83l9s
m.0dr93d2	1	m.0fxf5tt
m.0dr93d2	1	m.0f7sr_f
m.0dr93d2	1	m.03zzkdx
m.0dr93d2	1	m.0dr93cn
m.0dr93d2	1	m.030xcgf
m.0dr93d2	1	m.03zygjg
m.0dr93d2	1	m.0g6tlb5
m.0dr93d2	1	m.0fhtj93
m.0dr93d2	1	m.03fg0bq
m.0dr93d2	4	m.0nhdqhv
m.0dr93d2	0	m.0kpv11
m.0dr93d2	1	m.03j6k33
m.0dr93d2	1	m.03fgrzl
m.0dr93d2	1	m.0ffkhkw
m.0dr93d2	1	m.0dqfwbr
m.0dr93d2	1	m.03ffpm_
m.0dr93d2	1	m.0d_cp9x
m.0dr93d2	1	m.049kh25
m.0dr93d2	1	m.0f_l01k
m.0dr93d2	1	m.0g7c0rl
m.0dr93d2	1	m.03xr1ky
m.0dr93d2	1	m.037xq42
m.0dr93d2	1	m.039j3sp
m.0dr93d2	1	m.038fb91
m.0dr93d2	1	m.0f9j0q7
m.0dr93d2	1	m.0g8hh1l
m.0dr93d2	4	m.012cnn
m.0dr93d2	1	m.0f5nc9d
m.0drjqh4	1	m.04fdtrs
m.0drjqh4	1	m.0f18m76
m.0drjqh4	1	m.04cjhxk
m.0drjqh4	1	m.049klgk
m.0drjqh4	1	m.0ft5214
m.0drjqh4	1	m.04cjhxy
m.0drjqh4	1	m.0fmv4qr
m.0drjqh4	1	m.04cjhxr
m.0drjqh4	1	m.049klgc
m.0drjqh4	1	m.0d_ckcx
m.0drjqh4	4	m.0838y
m.0drjqh4	2	m.0838y
m.0drjqh4	0	m.0kpv11
m.0dtfrt2	2	m.02fbrc
m.0dtfrt2	1	m.03fk0yl
m.0dtfrt2	1	m.0fwwb7p
m.0dtfrt2	1	m.0dz6ytr
m.0dtfrt2	1	m.0g85lms
m.0dtfrt2	0	m.0kpv11
m.0dtfrt2	1	m.03fk0yf
m.0dtwvgw	1	m.03xspls
m.0dtwvgw	1	m.0dvkvv9
m.0dtwvgw	1	m.03xspll
m.0dtwvgw	0	m.0kpv11
m.0dtwvgw	2	m.06wcs2
m.0dtwvgw	1	m.0f8vy0q
m.0dtwvgw	1	m.049mfdx
m.0dtwvgw	1	m.0flml_h
m.0dtwvgw	1	m.0f3wch_
m.0dtwvgw	1	m.0dytcsq
m.0dvfr4w	1	m.03fktln
m.0dvfr4w	3	m.01wp88w
m.0dvfr4w	4	m.01n_v5
m.0dvfr4w	2	m.01qczr
m.0dvfr4w	1	m.0g3cssm
m.0dvfr4w	3	m.0wh7znd
m.0dvfr4w	0	m.0kpv11
m.0dvfr4w	3	m.012gpwk1
m.0dz9dms	0	m.0kpv11
m.0dz9dms	2	m.09n79j
m.0dz9dms	1	m.03xt7tv
m.0dz9dms	1	m.03xt7tn
m.0dz9dms	1	m.0fn3rp_
m.0dz9dms	1	m.03fq4hq
